Tijdstempel,Welk toestel gebruikte u voor de testen?,Wist je dat een website gebruik kan maken van de camera?,Wist je dat een website offline kan werken?,Wist je dat een website items kan delen op dezelfde manier als een gewone app?,Zou je een webapplicatie installeren die dit op deze manier vraagt? ,Zou je een webapplicatie installeren waarbij je dit zelf kan aanvragen (zoals bij de demo),Zou je notificaties van een webapplicatie toestaan (zoals in demo),Als voor een applicatie zowel een gewone app als een PWA beschikbaar is. Zou je dan overwegen een PWA te gebruiken?,Wat is daar de reden voor? ,Zou je een PWA gebruiken in plaats van een gewone applicatie (wetende dat een PWA veel minder plaats inneemt op het toestel),Vond je de ervaring in de demo's gelijkaardig als die in een mobiele applicatie?
16-5-2020 11:38:26,IOS,Nee,Nee,Nee,Nee,Nee,Nee,Nee,gebrek aan vertrouwen,Ja,Ja
17-5-2020 11:03:56,IOS,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ik prefereer snelheid en integratie van native,Nee,Nee
18-5-2020 21:23:26,IOS,Ja,Nee,Ja,Nee,Nee,Nee,Nee,"PWA heeft zeker voor IOS nog zeer veel ""kinderfoutjes"", waardoor een app voor veel meer gebruiksgemak zorgt.",Nee,Nee
20-5-2020 19:36:15,IOS,Ja,Nee,Nee,Nee,Nee,Ja,Nee,/,Ja,Nee
17-5-2020 15:54:14,Android,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Weet niet dat web versie bestaat,Ja,Ja
16-5-2020 12:33:20,Android,Ja,Ja,Ja,Ja,Ja,Ja,Nee,onwetendheid,Ja,Ja
16-5-2020 14:21:36,Android,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Als beide beschikbaar zijn heb ik de voorkeur voor de native app omdat die meer het gevoel van een app geeft.,Nee,"Ja, maar er zijn wel nuances bij de ervaring."
16-5-2020 18:01:03,Android,Ja,Nee,Ja,Nee,Ja,Ja,Nee,geen reden voor,Ja,Ja
16-5-2020 18:31:38,Android,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Niet genoeg kennis,Ja,Ja
17-5-2020 9:26:56,Android,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Ik zie de voor/nadelen er nog niet van in.,Ja,Ja
15-5-2020 21:20:32,Android,Nee,Nee,Ja,Nee,Ja,Nee,,aanwezig op startscherm,,Ja
17-5-2020 14:20:25,Android,Ja,Ja,Ja,Nee,Ja,Ja,Nee,"Ik zou het wel gebruiken, maar nog niet veel mee in aanraking gekomen",Ja,Ja
17-5-2020 15:27:21,Windows,Ja,Nee,Nee,"Als ik een frequente darter was dan wel, maar aangezien ik niet veel dart en dit voor eenmalig gebruik zou zijn niet",Ja,Ja,Nee,"hangt af van het toestel, indien ik een computer gebruik dan zou ik de PWA gebruiken en als ik een GSM gebruik de applicatie",Ja,Ja
